"","(3.5,3.75]","(3.25,3.5]","(3,3.25]","(2.75,3]","(2.5,2.75]","(2.25,2.5]","(2,2.25]","(1.75,2]","(1.5,1.75]","(1.25,1.5]","(1,1.25]","(0.75,1]","(0.5,0.75]","(0.25,0.5]","(0,0.25]"
"Loxodonta_exoptata",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"Madoqua_avifluminis",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Megalotragus_issaci",0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
"Megalotragus_kattwinkeli",0,0,0,0,0,1,1,0,0,1,1,1,1,0,0
"Menelikia_leakeyi",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Menelikia_lyrocera",0,0,1,1,0,1,1,1,1,1,0,0,0,0,0
"Metridiochoerus_andrewsi",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
"Metridiochoerus_compactus",0,0,0,1,0,0,1,1,1,1,1,1,1,0,0
"Metridiochoerus_hopwoodi",0,0,0,0,0,1,0,1,1,1,1,1,1,0,0
"Metridiochoerus_modestus",0,0,0,0,0,1,0,1,1,1,1,1,1,0,0
"Nitidarcus_asfawi",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Notochoerus_capensis",0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
"Notochoerus_clarkei",0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
"Notochoerus_euilus",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
"Notochoerus_scotti",0,1,0,1,1,1,1,1,1,0,0,0,0,0,0
"Numidocapra_crassicornis",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"Nyanzachoerus_jaegeri",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nyanzachoerus_kanamensis",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Oreotragus_oreotragus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Oryx_beisa",0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
"Ourebia_ourebi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Parantidorcas_latifrons",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
